stadium,city,country,capacity
Estadio Azteca,Mexico City,Mexico,83264
Estadio BBVA,Monterrey,Mexico,53500
Estadio Akron,Guadalajara,Mexico,48071
BC Place,Vancouver,Canada,54500
BMO Field,Toronto,Canada,45736
AT&T Stadium,Dallas,United States,94000
MetLife Stadium,New York/New Jersey,United States,82500
Mercedes-Benz Stadium,Atlanta,United States,75000
Arrowhead Stadium,Kansas City,United States,76416
NRG Stadium,Houston,United States,72220
Levi's Stadium,San Francisco Bay Area,United States,70909
SoFi Stadium,Los Angeles,United States,70240
Lincoln Financial Field,Philadelphia,United States,69596
Lumen Field,Seattle,United States,68740
Gillette Stadium,Boston,United States,65878
Hard Rock Stadium,Miami,United States,65326
